Name,Date,Location,Type,Region,Weather
Amber Liu,1/17/2024,The Crocodile,Music,Downtown,"Rain before 1pm, then rain and snow likely between 1pm and 4pm, then rain and snow. Cloudy. High near 40, with temperatures falling to around 38 in the afternoon. South wind 3 to 7 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Disability Justice,1/17/2024,Town Hall Seattle,Readings & Lectures,Downtown,"Rain. Cloudy. Low around 31, with temperatures rising to around 35 overnight. East southeast wind around 6 mph. Chance of precipitation is 80%. New snow accumulation of less than half an inch possible. Little or no ice accumulation expected."
Hughes Bros Presents,1/17/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"Rain before 1pm, then rain and snow likely between 1pm and 4pm, then rain and snow. Cloudy. High near 40, with temperatures falling to around 38 in the afternoon. South wind 3 to 7 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
sarya wu,1/17/2024,Chop Suey,Music,Capitol Hill / Central District,"Rain. Cloudy. High near 40, with temperatures falling to around 38 in the afternoon. South wind 3 to 7 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
The Sweet Lillies,1/17/2024,High Dive,Music,Fremont / Ballard,"Rain before 1pm, then rain and snow likely between 1pm and 3pm, then rain and snow. Cloudy. High near 40, with temperatures falling to around 38 in the afternoon. South southeast wind 3 to 7 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Black Dogs,1/18/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"Rain and snow before 1pm, then rain and snow. Cloudy, with a high near 38. East northeast wind 5 to 9 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Blue Elephant and The Seven Snakes,1/18/2024,Funhouse,Music,Capitol Hill / Central District,"Rain and snow. Cloudy, with a high near 39. East northeast wind 5 to 9 mph. Chance of precipitation is 100%. New rainfall amounts between a half and three quarters of an inch possible."
"Brock, Lanzetti, Ogawa",1/18/2024,The Royal Room,Music,South Seattle,"Rain and snow before 4pm, then rain and snow. Cloudy, with a high near 39. East northeast wind 5 to 10 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Fact and Fiction: The Lord of the Rings,1/18/2024,National Nordic Museum,Film & Media Arts,Fremont / Ballard,"Rain and snow. Cloudy, with a high near 38. East northeast wind 5 to 9 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Groundation,1/18/2024,Nectar Lounge,Music,Fremont / Ballard,"Rain and snow before 1pm, then rain and snow. Cloudy, with a high near 38. East northeast wind 5 to 9 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Kayla Min Andrews,1/18/2024,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"Rain and snow. Cloudy, with a high near 39. East northeast wind 5 to 9 mph. Chance of precipitation is 100%. New rainfall amounts between a half and three quarters of an inch possible."
Ol Doris,1/18/2024,Slim's Last Chance,Music,South Seattle,"Rain and snow. Cloudy, with a high near 38. East northeast wind 5 to 9 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
